country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,9000000,9170000,9350000,9540000,9740000,9960000,10200000,10400000,10600000,10900000,11200000,11500000,11800000,12100000,12400000,12700000,12900000,13200000,13300000,13400000,13400000,13200000,12900000,12500000,12200000,11900000,11700000,11600000,11600000,11900000,12400000,13300000,14500000,15800000,17100000,18100000,18900000,19400000,19700000,20200000,20800000,21600000,22600000,23700000,24700000,25700000,26400000,27100000,27700000,28400000,29200000,30100000,31200000,32299999,33400000,34400000
Angola,5450000,5530000,5610000,5680000,5730000,5770000,5780000,5770000,5770000,5800000,5890000,6040000,6250000,6500000,6760000,7020000,7280000,7530000,7790000,8060000,8340000,8640000,8950000,9280000,9610000,9960000,10300000,10700000,11100000,11500000,11800000,12200000,12700000,13100000,13500000,13900000,14400000,14900000,15400000,15900000,16399999,16900000,17500000,18100000,18800000,19400000,20100000,20900000,21700000,22500000,23400000,24200000,25100000,26000000,26900000,27900000
Albania,1640000,1690000,1740000,1790000,1840000,1900000,1950000,2000000,2049999,2100000,2150000,2200000,2250000,2310000,2360000,2410000,2460000,2520000,2570000,2630000,2680000,2740000,2790000,2840000,2900000,2970000,3040000,3120000,3200000,3260000,3290000,3280000,3250000,3200000,3150000,3110000,3100000,3100000,3110000,3120000,3130000,3130000,3130000,3120000,3100000,3090000,3060000,3030000,3000000,2970000,2950000,2930000,2910000,2900000,2900000,2890000
Andorra,13400,14400,15400,16400,17500,18500,19600,20800,21900,23100,24300,25600,26900,28200,29500,30700,31800,32800,33700,34800,36100,37500,39100,40900,42700,44600,46500,48500,50400,52500,54500,56700,58900,61000,62700,63900,64400,64300,64099,64400,65400,67300,70000,73200,76300,78900,81000,82700,83900,84500,84500,83700,82400,80800,79200,78000
United Arab Emirates,92400,101000,112000,125000,138000,150000,160000,170000,183000,203000,235000,277000,331000,395000,467000,548000,638000,735000,835000,932000,1020000,1100000,1160000,1230000,1290000,1370000,1450000,1530000,1630000,1730000,1830000,1940000,2049999,2170000,2290000,2420000,2540000,2670000,2810000,2970000,3130000,3300000,3480000,3710000,4070000,4590000,5300000,6170000,7090000,7920000,8550000,8950000,9140000,9200000,9210000,9260000
Argentina,20500000,20800000,21200000,21500000,21800000,22200000,22500000,22800000,23200000,23500000,23900000,24300000,24700000,25100000,25500000,25900000,26300000,26700000,27100000,27500000,27900000,28300000,28800000,29300000,29700000,30200000,30700000,31200000,31700000,32100000,32600000,33100000,33500000,34000000,34400000,34800000,35200000,35700000,36100000,36500000,36900000,37300000,37700000,38100000,38500000,38900000,39300000,39700000,40100000,40500000,40900000,41300000,41800000,42200000,42600000,43100000
Armenia,1870000,1940000,2009999,2080000,2150000,2210000,2280000,2340000,2400000,2460000,2530000,2590000,2650000,2710000,2770000,2830000,2890000,2940000,3000000,3050000,3100000,3150000,3190000,3240000,3290000,3340000,3390000,3450000,3500000,3540000,3540000,3510000,3440000,3360000,3280000,3220000,3170000,3130000,3110000,3090000,3070000,3050000,3030000,3020000,3000000,2980000,2960000,2930000,2910000,2890000,2880000,2880000,2880000,2900000,2910000,2930000
Antigua and Barbuda,54100,55000,55800,56700,57600,58700,59900,61200,62500,63600,64200,64400,64099,63600,63100,62700,62400,62200,62000,61900,61900,61800,61800,61800,61800,61800,61800,61700,61800,62000,62500,63400,64500,65800,67200,68700,70200,71700,73200,74700,76000,77200,78300,79300,80300,81500,82700,84000,85400,86700,88000,89300,90400,91500,92600,93600
Australia,10200000,10400000,10600000,10800000,11100000,11300000,11600000,11900000,12200000,12500000,12800000,13000000,13200000,13400000,13600000,13800000,13900000,14100000,14200000,14400000,14600000,14800000,15000000,15200000,15400000,15700000,15900000,16200000,16500000,16700000,17000000,17200000,17400000,17600000,17800000,18000000,18200000,18400000,18600000,18800000,19000000,19200000,19400000,19600000,19900000,20200000,20500000,20900000,21300000,21800000,22200000,22500000,22900000,23300000,23600000,23900000
Austria,7070000,7110000,7160000,7210000,7260000,7310000,7350000,7400000,7440000,7480000,7520000,7550000,7580000,7610000,7630000,7640000,7640000,7640000,7630000,7620000,7610000,7600000,7600000,7600000,7610000,7610000,7630000,7640000,7660000,7690000,7720000,7770000,7830000,7890000,7950000,7990000,8020000,8029999,8039999,8050000,8070000,8100000,8130000,8180000,8220000,8250000,8289999,8310000,8340000,8369999,8410000,8450000,8500000,8560000,8620000,8680000
Azerbaijan,3900000,4030000,4170000,4320000,4460000,4590000,4720000,4840000,4960000,5070000,5180000,5280000,5390000,5480000,5580000,5670000,5770000,5860000,5960000,6050000,6150000,6250000,6350000,6450000,6560000,6670000,6780000,6890000,7010000,7130000,7240000,7360000,7470000,7580000,7680000,7780000,7860000,7930000,7990000,8050000,8119999,8199999,8279999,8359999,8450000,8540000,8630000,8720000,8820000,8920000,9030000,9150000,9260000,9390000,9510000,9620000
Burundi,2800000,2850000,2910000,2960000,3030000,3090000,3170000,3250000,3340000,3410000,3480000,3530000,3570000,3610000,3650000,3700000,3770000,3850000,3950000,4050000,4160000,4270000,4380000,4500000,4620000,4750000,4890000,5030000,5170000,5310000,5440000,5560000,5690000,5800000,5900000,5990000,6060000,6120000,6190000,6270000,6380000,6530000,6700000,6910000,7130000,7360000,7610000,7860000,8130000,8400000,8680000,8960000,9250000,9540000,9840000,10200000
Belgium,9170000,9230000,9280000,9340000,9390000,9440000,9490000,9530000,9570000,9600000,9630000,9660000,9690000,9720000,9750000,9770000,9790000,9820000,9840000,9850000,9870000,9880000,9890000,9900000,9910000,9920000,9930000,9940000,9960000,9980000,10000000,10000000,10100000,10100000,10200000,10200000,10200000,10200000,10200000,10300000,10300000,10300000,10400000,10400000,10500000,10500000,10600000,10700000,10800000,10900000,10900000,11000000,11100000,11200000,11200000,11300000
Benin,2430000,2470000,2500000,2540000,2590000,2630000,2680000,2740000,2790000,2850000,2910000,2980000,3040000,3110000,3190000,3270000,3350000,3430000,3520000,3620000,3720000,3820000,3930000,4040000,4160000,4280000,4400000,4540000,4670000,4820000,4980000,5150000,5330000,5520000,5710000,5910000,6090000,6280000,6470000,6660000,6870000,7080000,7300000,7520000,7750000,7980000,8220000,8450000,8700000,8940000,9200000,9460000,9730000,10000000,10300000,10600000
Burkina Faso,4830000,4890000,4960000,5030000,5100000,5170000,5260000,5340000,5430000,5530000,5620000,5720000,5830000,5930000,6040000,6150000,6270000,6400000,6530000,6670000,6820000,6990000,7160000,7340000,7530000,7730000,7930000,8140000,8359999,8580000,8810000,9050000,9300000,9550000,9820000,10100000,10400000,10700000,11000000,11300000,11600000,11900000,12300000,12700000,13000000,13400000,13800000,14300000,14700000,15100000,15600000,16100000,16600000,17100000,17600000,18100000
Bangladesh,48000000,49400000,50800000,52200000,53700000,55400000,57200000,59000000,60900000,62700000,64200000,65500000,66599999,67600000,68700000,70100000,71700000,73500000,75500000,77500000,79600000,81800000,83900000,86100000,88400000,90800000,93200000,95700000,98200000,101000000,103000000,106000000,108000000,110000000,113000000,115000000,118000000,120000000,123000000,125000000,128000000,130000000,132000000,135000000,137000000,139000000,141000000,143000000,144000000,146000000,148000000,149000000,151000000,153000000,155000000,156000000
Bulgaria,7890000,7950000,8020000,8090000,8160000,8220000,8279999,8340000,8400000,8450000,8510000,8560000,8610000,8660000,8700000,8740000,8770000,8800000,8830000,8850000,8880000,8910000,8930000,8950000,8970000,8980000,8970000,8960000,8940000,8900000,8840000,8770000,8680000,8580000,8470000,8380000,8289999,8210000,8140000,8070000,8000000,7930000,7870000,7800000,7740000,7690000,7630000,7580000,7520000,7470000,7430000,7380000,7330000,7290000,7250000,7200000
Bahrain,162000,168000,173000,178000,183000,187000,192000,196000,201000,206000,213000,220000,229000,240000,252000,267000,284000,303000,323000,343000,360000,374000,386000,396000,407000,419000,433000,449000,465000,481000,496000,510000,523000,536000,550000,564000,579000,595000,614000,637000,665000,698000,735000,779000,830000,889000,958000,1040000,1110000,1190000,1240000,1280000,1300000,1320000,1340000,1370000
Bahamas,110000,115000,121000,127000,134000,140000,146000,153000,159000,164000,169000,174000,178000,182000,185000,189000,193000,197000,201000,206000,211000,215000,220000,225000,230000,235000,239000,243000,247000,252000,256000,261000,266000,271000,276000,280000,284000,287000,291000,294000,298000,303000,308000,313000,319000,325000,331000,337000,344000,350000,355000,360000,364000,367000,371000,374000
Bosnia and Herzegovina,3230000,3290000,3350000,3420000,3480000,3540000,3590000,3630000,3680000,3720000,3760000,3810000,3850000,3900000,3940000,3990000,4030000,4059999,4099999,4139999,4179999,4220000,4270000,4310000,4350000,4390000,4440000,4480000,4510000,4510000,4460000,4370000,4230000,4080000,3940000,3830000,3760000,3740000,3730000,3740000,3750000,3760000,3760000,3760000,3760000,3770000,3770000,3760000,3750000,3740000,3710000,3660000,3600000,3540000,3480000,3430000
