country,1995,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,,,,18.6,19.2,20.2,19.4,,17.7,17.6,,,,,,,25.1,,,,,,
Afghanistan,,,,,,,,,,,,,,,13.3,12.6,8.53,11.3,12,10.3,12,11.3,
Albania,,,,,,,,,,,,,,,,,,5.87,,6.78,9.82,7.98,
Andorra,,,,,,,6.08,,6.7,6.95,9.92,11.1,,17.8,13.3,13.5,,16.4,11.3,14.4,13.6,13.6,13.9
United Arab Emirates,,,8.15,,,,,,,,,,,,,,,,,,,,
Argentina,,,15.1,16.6,15.7,16.9,15.2,12.9,12.9,16.1,16.8,17.8,19.2,22.2,19.3,20.6,20.8,21.6,21.3,22.9,21.6,20.6,
Armenia,,,,,,,,,,,,,,,,,,14.9,14.6,,,,
Antigua and Barbuda,,,,,,,,,,,,,,12.3,,9.81,,,,,,,
Australia,16,,,,,,,,,,,,,,,,16.1,16.8,16.5,17.1,15,,
Austria,,,28.9,29.3,27.2,27.1,27,27.9,26.6,25.4,25.7,25.4,26.3,29.3,28.4,29.4,26.7,27.6,27.1,27.3,27.7,,
Burundi,,,,,,53.3,52.6,,51.7,51.8,,,,44.7,48.6,40.6,32.9,31.2,,,,,
Belgium,,,,,,,,,,,,,,,,,,24.5,,,,,
Benin,,,,,22.2,22.4,18.2,20.1,22.6,,,,,,,,,13.8,13,11.3,,,
Burkina Faso,,,,,,,,,,20.8,22.3,29.2,,,20.6,22.7,18.2,15.6,16.1,17.3,19.9,,
Bangladesh,,,,9.99,9.3,,10.4,11.3,12.2,,12.6,12.1,11.6,10.3,12.6,11.2,10.4,,,,9.88,,
Bulgaria,,,14,,,18.4,18.1,19.8,10.2,21.2,20.2,19.5,22.7,23.4,23.1,20.7,19.1,22.2,,,,,
Bahrain,,,,,,,,,,,,,,,,,,15.9,15.8,17.5,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,43.5,,
Belarus,,,,,,,,,,,,,,,,,,,,,,35.7,
Belize,,,,18,16.4,,,,19.2,20.5,20.7,,22,23.5,26.2,,23.1,21.9,23.8,26,26.1,27.3,
Bermuda,,,,,,,,,12.3,14,,,,,17.8,,,,12.6,11.9,,,
Brazil,,,,,,,10.1,,11.4,13,,17.6,19.1,20,21,21.9,19.7,20.6,20.6,21.5,,,
Barbados,,,,17.4,21.1,25.3,25.5,28,24.7,22.6,,23,19.8,20.8,25.8,,,,19.3,,28,,
Brunei,,,,,,,,,,,,,,,7.64,,,,10.1,,23.6,,
Bhutan,,,,,,,,,,,,,36.3,33.4,26,30.1,,32.4,33.9,29.4,,,
Botswana,,,,,,,,,,43.6,,40.6,,35.9,,,,,,,,,
Central African Republic,,,,,,,,,,,,,,15.4,,,,,,,,,
Canada,,,,,,,,,,,,,,,,18.3,,,,,,,
