country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,8.14,8.15,8.19,8.27,8.37,8.51,8.62,8.61,8.41,8.13,7.69,7.32,7.34,7.86,8.67,9.76,17.7,20.2,12.2,1.98,3.5,-0.188,0.625,2.19,-1.82,-1.55,6.08,5.59,-0.00318,2.68,-2.88,-5.08,-2.59,4.62,-0.779,-1.3,0.868,-4.84,-7.83,-6.42,8.2,,,,,,,,
Afghanistan,1.43,-1.28,-0.497,-0.429,-0.374,-0.124,-1.37,0.31,1.06,-0.883,-0.514,-7.16,-4.36,8.58,2.75,2.53,2.33,-9.24,5.21,-2.18,0.168,10.7,9.05,3.59,-1.83,-3.28,7.17,-17.3,-9.66,-2.41,-5.58,-0.572,-7.95,-13.9,-10.4,20.3,2.66,2.82,2.83,2.71,-1.05,-10.4,22.1,8.04,2.5,8.61,1.59,10.8,0.117,17.3,5.17,3.85,11.2,1.13,0.837,2.11,2.68,2.76,3.02,3.38
Angola,2.26,11.4,-4.36,3.38,9.36,5.71,4.04,4.04,-3.19,1.15,4.51,3.88,-1.97,5.68,0.714,-7.37,-7.63,-1.87,-7.87,-2.6,-0.471,-7.61,-3.52,0.52,2.44,0.316,0.332,4.31,3.02,-2.14,-3.17,-2.03,-8.83,-26.4,-1.86,11.6,16.6,2.7,-2.63,0.387,-0.0561,-0.171,10.7,-0.247,7.45,16.6,15,19.6,10.6,-0.464,0.594,1.03,2.13,1.03,2.24,2.46,2.77,0.262,3.46,3.55
Anguilla,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,-3.76,10.2,3.03,-1.05,2.76,1.19,-0.0349,7.31,9.46,4.79,3.62,-1.25,-0.425,3.09,8.62,10.4,7,9.44,5.3,0.935,-5.07,4.17,4.7,5.53,-4.37,0.541,8.79,8.53,2.05,-0.386,0.816,-3.19,0.796,19.5,6.57,16.6,10.2,-3.56,-20,-5.64,2.09,,,,,,,,
Albania,5.06,0.831,3.31,3.41,3.42,3.65,3.75,3.76,3.61,3.4,3.69,4,3.92,4.98,0.373,0.348,0.4,0.438,0.46,0.487,0.706,0.536,0.55,0.584,0.569,0.523,0.635,0.629,0.633,0.754,0.893,-28.9,-8.1,8.78,7.44,12.6,8.65,-10.6,12.3,9.58,6.79,6.69,2.86,5.45,5.36,4.96,5.27,5.41,6.84,2.91,2.98,2.49,2.28,1.72,2.61,3.82,4.72,5.03,5.03,5.23
Andorra,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,-0.603,2.76,2.63,0.87,-3.59,-0.531,-0.634,-1.92,-3.67,-2.1,-4.97,-4.05,-3.47,-2.81,-1.37,0.612,3.73,3.54,2.78,0.811,-1.47,-3.74,-5.65,-1.65,-0.114,3.09,8.59,3.3,4.01,0.401,10,3.58,4.17,4.18,4.21,2.37,-1.7,-5.6,-6.31,-4.78,-4.3,,,,,,,,
Netherlands Antilles,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,5.24,3.74,3.26,4.69,1.81,5.42,35.3,5.77,3.87,7.68,0.282,-2.71,-1.44,-2.74,-3.07,-6.49,0.12,0.459,6.84,0.813,1.31,2.89,4.52,5.7,2.16,2.35,2.58,-1.57,-0.676,-2.03,1.44,-0.039,0.643,0.0856,-0.267,0.621,1.54,0.714,-2.03,-1.32,-1.08,,,,,,,,
United Arab Emirates,8.57,8.57,8.57,8.57,8.57,8.57,8.57,8.57,8.57,8.57,8.57,-3.2,-4.05,53.1,145,12.4,-1.63,1.34,-14.5,11.3,14.7,-5.19,-14.4,-10.7,-1.6,-7.87,-23.5,0.348,-7.76,7.43,11.6,-4.93,-2.43,-5.88,2.44,1.15,-0.189,2.4,-4.38,-1.48,6.23,-1.89,-2.44,6.67,5.01,4.05,5.68,0.401,-0.799,-10.5,-1.65,2.13,1.32,1.71,1.32,1.15,1.02,1.06,1.16,1.07
Argentina,6.22,5.48,-3.18,-3.93,8.76,7.64,-0.829,1.22,2.87,7.08,3.85,2.13,0.37,2.02,3.7,-2.24,-1.58,4.86,-4.73,5.44,0.0163,-6.96,-4.5,2.67,0.681,-8.34,5.88,1.25,-3.22,-8.34,-3.22,9.29,8.54,4.66,4.77,-3.91,4.46,7.05,2.79,-4.45,-1.85,-5.47,-12,7.77,7.92,8.12,7.25,7.44,5.57,-0.276,7.94,7.65,0.761,3.09,-0.622,-0.128,0.367,0.861,0.861,0.861
Armenia,7.29,3.87,1.03,-3.74,11.4,4.39,3.67,3.31,4.81,0.45,6.69,1.65,-0.43,7.38,1.07,-1.5,2.85,0.584,0.76,-2.14,-1.53,-0.756,0.754,1.46,-0.516,-0.847,2.33,-0.417,0.453,0.135,-3.87,-13.3,-40.8,-4.66,8.96,8.9,6.08,3.45,7.65,3.35,6.08,10.1,15.6,14.4,10.9,14.3,13.1,13.6,6.69,-15,1.19,3.66,6.92,2.98,4.05,4.29,4.49,4.79,4.79,4.79
American Samoa,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,0.196,0.196,0.196,0.196,0.196,0.196,0.196,0.196,0.196,0.196,0.196,0.196,0.196,0.196,0.196,0.196,0.196,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,5.46,5.46,5.46,5.46,17.4,17.4,,,,,,,,,,,,
Antigua and Barbuda,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,4.8,4.72,6.09,1.7,-6.29,-8.91,8.21,4.99,12.6,8.35,6.33,1.55,8.03,8.85,9.54,10.7,11.3,10,7.54,3.23,1.54,-0.632,3.08,3.66,-6.63,3.9,2.34,1.82,1.69,-0.683,0.251,0.811,3.67,5.75,3.29,11.3,5.78,0.378,-11.7,-8.53,-2.96,2.79,0.468,1.62,1.9,2.2,2.2,2.2,2.2
Australia,1.88,-1.57,4.32,4.13,4.78,3.08,0.881,4.8,3.87,3.7,4,2.21,0.935,3.82,0.831,1.42,2.95,-0.0919,1.64,4,0.645,1.72,-1.84,-1.35,5.62,3.67,0.61,3.4,2.83,2.78,0.0774,-1.11,2.32,2.68,3.02,2.98,2.48,3.24,4.34,2.89,0.891,2.74,2.15,3.08,1.47,2.18,1.24,2.99,0.724,-0.16,1.44,1.06,1.78,1.17,1.41,1.49,1.73,1.7,1.71,1.77
Austria,7.72,4.73,1.8,3.4,5.3,2.21,4.89,2.27,3.9,5.92,6.75,4.64,5.59,4.31,3.77,-0.0976,4.76,4.64,-0.283,5.63,2.31,-0.3,1.77,3.1,0.316,2.17,2.23,1.54,2.88,3.84,3.27,2.33,1.11,-0.592,2.16,1.66,2.45,1.73,3.48,3.09,3.12,0.587,0.687,0.998,2.18,1.95,3.13,3.29,1,-4.09,1.75,2.29,0.336,0.131,1.27,1.31,1.2,1.03,1.03,0.991
Azerbaijan,7.43,3.87,1.03,-3.74,11.4,4.39,3.67,3.31,4.81,0.45,6.69,1.65,-0.43,7.38,1.42,-1.16,3.21,0.935,1.11,-1.8,-1.19,-0.409,1.11,1.81,-0.169,-0.501,2.68,-0.0696,0.804,0.485,-3.54,-2.17,-23.7,-24,-20.5,-12.5,0.798,5.43,9.73,7.19,10.8,9.58,10.2,10.7,11,23.6,32.8,23.4,9.36,7.86,3.79,-1.15,0.792,4.96,4.13,3.78,2.66,2.4,3.16,3.4
Burundi,-0.342,-16,6.58,2.51,3.29,1.06,1.94,6.58,-3.14,-2.98,24.5,5.63,-9.09,6.9,-2.34,-1.23,5.78,9.85,-3.51,-2.71,3.42,6.41,-2.59,0.66,-2.42,9.31,1.83,1.62,1.09,-0.846,1.15,2.55,-2.29,-2.95,-4.54,-13.3,-8.74,0.0579,2.29,-3.86,-2.56,-0.733,1.34,-4.32,1.08,-2.71,3.32,2.73,2.59,1.04,1.35,1.75,1.58,2.02,2.28,2.34,2.54,2.73,2.93,2.89
Belgium,4.15,4.33,4.55,3.68,6.08,2.62,2.53,3.37,3.79,6.4,5.92,3.38,4.86,5.8,3.89,-1.6,5.48,0.515,2.76,2.26,4.38,-1.3,1.37,-0.00397,2.48,0.976,1.46,2.27,4.57,3.03,2.71,1.48,1.11,-1.35,2.85,2.06,0.923,3.13,1.7,3.23,3.47,0.507,1.31,0.822,2.81,1.51,2.03,2.17,0.206,-3.56,1.6,0.297,-0.984,-0.351,0.955,0.781,0.654,0.723,0.764,0.857
Benin,0.814,0.949,-5.65,2.19,4.32,2.68,1.19,-1.51,1.25,0.383,-0.535,-2.12,5.94,-0.362,-10,1.47,1.44,2.69,0.277,4.96,6.56,2.81,7.68,-7.1,4.78,4.29,-0.932,-4.61,-0.241,-5.28,0.616,1.39,0.809,-1.12,-0.797,0.696,2.17,2.56,1.53,1.67,2.73,1.97,2.97,0.959,0.222,0.0626,0.616,1.52,1.96,-0.276,-0.323,0.686,2.55,2.87,2.79,2.59,2.27,2.35,2.42,2.5
Burkina Faso,1.87,3.46,5.51,-1.93,1.55,2.98,-0.425,7.72,2,0.823,-0.94,2.74,2.75,-6.56,-3.3,-5.74,-2.55,4.79,9.17,-1.32,-0.765,1.89,-0.315,-3.61,-0.968,10.2,12.6,-4.54,5.02,-4.22,-4.06,6.58,-0.676,-3.85,-1.89,1.24,4.42,1.84,3.41,3.17,-0.803,2.85,0.745,4.13,1.51,3.93,3.17,1.06,2.71,-0.0594,4.71,1.1,5.69,4.88,3.57,4.61,4.64,4.66,4.13,4.76
Bangladesh,3.51,3.55,-2.44,7.97,-0.943,3.27,-0.724,-4.17,7.07,-0.706,2.41,-6.88,-13.8,-1.64,10,-3.29,2.2,-2.13,4.12,1.66,-2.14,0.443,-1.4,2.36,3.02,0.809,2.27,2.18,0.94,0.581,4.6,1.46,3.4,3,2.46,3.25,2.89,3.57,3.33,2.93,3.94,3.24,2.35,3.13,4.22,3.81,5.2,5.12,4.85,4.79,5.21,5.38,4.87,4.67,4.93,5.41,5.66,5.9,5.9,5.9
Bulgaria,8.5,5.5,7.27,3.73,7,5.26,7.15,4.71,1.12,4.07,5,2.69,4.25,3.41,2.45,7.7,2.59,-1.43,2.09,3.75,-3.22,2.36,2.97,-2.09,3.1,-3.18,2.47,0.0412,-0.738,-1.88,-9.96,-7.13,-6.08,1.03,2.88,4.12,-8.35,-4.49,5.23,3.32,6.41,5.18,5.95,5.31,7.6,7.24,7.06,6.99,6.66,-4.94,1.18,4.31,1.21,1.47,2.11,3.02,3.52,3.52,3.52,3.52
Bahrain,1.68,1.37,1.67,2.17,2.63,3.27,3.45,3.63,3.48,3.56,3.9,5.14,5.41,4.24,4.52,-14.3,9.97,3.04,-0.658,-4.37,3.94,-1.71,2.35,2.88,0.329,-4.01,-1.33,-1.38,0.255,-0.751,-3.1,1.6,4.9,5.41,-2.82,1.33,1.73,0.948,2.67,2.32,3.27,2.79,3.42,5.48,3.94,6.14,4.56,6.26,4.22,-22.6,-1.65,0.0996,1.37,2.82,2.64,1.23,1.24,1.45,1.51,1.46
Bahamas,8.08,5.25,4.95,5.05,5.2,5.4,4.36,5.12,4.32,5.28,-8.46,-0.985,-5.6,5.46,-18.3,-16.5,3.04,6.85,11.8,23.4,4.21,-4.97,4.02,4.55,0.291,2.08,0.709,1.88,0.499,0.53,-3.37,-5.96,-5.67,-1.61,1.23,2.52,2.46,3.25,5.16,2.49,0.466,-0.564,0.933,-0.29,0.0122,1.2,1.27,0.236,-3.46,-5.94,-0.928,0.506,0.707,0.75,1.17,1.64,1.69,1.36,1.33,1.17
Bosnia and Herzegovina,5.33,3.47,0.875,9.34,8.56,1.7,4.38,0.839,1.25,10.3,4.01,10.6,2.52,2.47,11.9,-0.879,2.12,6.28,4.6,5.96,4.21,1.17,0.0852,0.295,1.97,0.281,3.58,-1.58,-1.84,-1.7,-7.64,-12.1,-24.6,-25.6,7.32,8.17,58.5,36.7,10.2,5.6,3.39,2.57,2.35,1.31,3.6,2.99,5.95,6.2,5.73,-2.74,0.908,1.44,-1.05,1.36,2.18,3.41,3.94,4.26,4.2,4.24
Belarus,7.46,3.87,1.03,-3.74,11.4,4.39,3.67,3.31,4.81,0.45,6.69,1.65,-0.43,7.38,3.06,0.439,4.88,2.56,2.74,-0.217,0.407,1.2,2.73,3.45,1.44,1.1,4.34,1.54,2.43,2.1,-1.98,-1.68,-10.1,-8.08,-11.9,-10.5,2.75,11.4,8.5,3.52,5.96,4.87,5.15,6.94,11.5,9.41,10.4,8.92,12.3,0.311,7.96,6.07,1.9,0.911,2.09,3.01,3.26,3.19,3.27,3.3
