country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.9,,,,,,,32.9,,,,,,,,,24.6,,,,,19.1,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.2,,,,,,,,,,,15.6,,,,,,,,19,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1,,,17,,,,,6.6,,,,6.3,,,,,,,,1.5,,,
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,,4.7,,,,,,,,,2.3,,,,,,,,,,,,,,1.7,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,,2.6,,,,,4.2,,,,,5.3,,,,,,2.6,,,,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0.2,,,,,,,,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8,,,,14,5.9,,,,,8.4,,,,,6.5,,4.9,,,,,,,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,33.6,,,,,,,,,,,,,39.1,,,,,35.2,,,,,29.1,,,,,,29.3,,29.6,27,
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.2,,,,,19.5,,,,,,,17.8,,,,,,18,,,,16.8,,
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,,,,,,30.9,,,,,,,,,,26,26.2,25.1,24.3,20.9,20,22.8,18.9,16.2,17.7,16.4,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,66.8,,,,61.5,61.2,60.6,56.1,58,55.2,54,53.6,50.7,49.5,42.4,43.2,41,38.9,42.8,37.3,37.9,41.3,,,,36.7,,35.1,32.8,,,,21.9,22.6,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,,,3.7,,,,,,,1.9,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3,,,,,,7.6,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,,,,,,1.6,,,,,,1.6,,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,,,,,,,,,,,,,,,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,,,,,,,,,,,,,,5,,,,,6.2,,,,4.6,,,,,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8,7.8,9.7,10.2,10.5,,11,,,,5.9,,,,,5.8,,,,,4.5,,,,3.6,,,,3.4,,,,
