country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450,1390,1300,1240,1180,1140,1120,1090,1030,993,954,905,858,810,786,701
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,827,766,690,628,574,519,473,431,395,359,326,300,281,269,258,251
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,23,21,21,18,22,18,19,20,20,21,22,17,16,16,15
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,5,5,5,5,4,4,4,4,4,4,4,3,3,3
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,67,65,65,61,59,57,56,53,56,51,48,47,44,42,41
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,42,39,38,36,35,36,32,36,32,32,30,30,26,27,28
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,44,43,44,41,40,46,48,50,45,44,43,44,43,42,43
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6,6,6,5,5,5,5,5,5,5,6,6,6,6,6
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,5,6,5,5,5,5,5,5,5,5,5,5
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,44,43,44,39,42,35,34,32,32,31,30,29,28,28,27
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1010,956,925,890,844,814,785,756,733,698,665,635,608,591,576,568
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,7,7,7,7,7,7,7,6,6,6,6,6,6,5
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520,516,511,510,505,500,493,486,480,471,464,458,450,441,432,421
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,516,501,486,471,454,437,422,410,401,393,385,377,369,362,353,343
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434,423,410,395,372,343,315,297,280,269,258,248,238,227,214,200
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,18,17,16,16,15,14,13,13,12,12,12,11,10,11,10
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,19,25,21,21,19,24,16,18,19,18,15,18,17,15,15
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,76,78,79,78,77,78,77,77,78,78,78,78,78,77,74
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,16,14,14,14,13,13,13,11,11,11,10,10,10,10,10
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,19,18,15,13,11,9,7,6,6,5,5,4,3,3,3
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,88,82,80,75,70,65,61,59,57,54,52,50,48,46,43
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331,320,309,297,283,271,258,246,234,222,212,202,192,184,175,168
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,68,69,70,71,71,72,71,70,69,65,61,60,61,62,63
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,48,47,45,43,42,41,40,39,38,36,35,34,32,31,31
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,28,29,30,30,29,28,27,27,27,28,28,29,28,29,30
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,423,384,365,348,332,310,291,275,264,255,247,239,231,223,214,203
