country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,105.188944,105.1931556,105.1840214,105.1810664,105.1929033,105.1870723,105.1920088,105.1895825,105.1852181,105.1712948,105.2050617,105.1988855,105.1930594,105.2097333,105.2013448,105.1952813,105.1975199,105.2023485,105.1973902,105.2097456,105.2313274,105.2413229,105.2458464,105.2502559,105.2678428,105.2838071,105.3125546,105.3334908,105.3514689,105.3841613,105.4021511,105.4435234,105.4685997,105.5007896,105.5198866,105.5820767,105.6439492,105.7041528,105.7641358,105.8320625,105.915783,105.9911701,106.0075723,106.0598875,106.1089427,106.1950495,106.3376166,106.4842998,106.6490441,106.7451669,106.7743316,106.7819556,106.8153468,106.7746678,106.6956729,106.6527191,106.6200944,106.5773908,106.5556227,106.4897972,106.3822215,106.2888288,106.186539,106.0951935,106.0758916,106.0758184
Albania,105.8705587,105.8685744,105.8880569,105.8949184,105.922537,105.9241649,105.9409617,105.9494906,105.9599771,105.9726315,105.9686852,105.9983723,106.0191569,106.0346254,106.04662,106.0769222,106.1071313,106.1375248,106.1803759,106.232774,106.2782395,106.4674049,106.5552775,106.6459781,106.7565401,106.8639866,107.0000482,107.1510088,107.3161678,107.8394376,108.5347243,108.6682341,108.5959278,108.6421465,108.1027681,107.9100676,108.0200191,108.0187713,107.9361724,107.9456397,108.2304831,108.7682994,108.6610527,108.5963055,108.5797507,108.624587,108.8083865,109.1655267,109.6179694,109.923593,110.2957842,110.9212913,111.5625328,111.9268932,112.3669852,112.5869999,112.6822421,112.530575,112.1714025,111.815262,111.2933199,110.5573433,110.0370826,109.6681171,109.368622,109.0617355
Algeria,104.7067751,104.7077233,104.7004035,104.7134903,104.7179878,104.7249237,104.7281039,104.7311185,104.7457385,104.7543417,104.7520111,104.7746393,104.7699836,104.7887961,104.8068442,104.7983519,104.8178141,104.8351661,104.8493234,104.8654842,104.8799075,104.8917998,104.9075798,104.896796,104.8793948,104.867024,104.8357844,104.8117369,104.642007,104.5536526,104.5276512,104.5115228,104.4638482,104.464851,104.4158537,104.3641985,104.3606795,104.3563678,104.3061049,104.2558083,104.2320744,104.1991753,104.2190813,104.2175482,104.2163204,104.2072926,104.1851508,104.2796012,104.3732813,104.5407713,104.7350668,104.9068783,105.0209641,105.117055,105.1704288,105.2417248,105.1793583,105.1373615,105.0834458,104.9804601,104.8276313,104.6726107,104.6117665,104.5851181,104.499855,104.42868
Andorra,105.924106,105.9176256,105.9174051,105.9155944,105.8971728,105.8927455,105.8788014,105.8755278,105.8618776,105.8667039,105.8549892,105.8611374,105.8446266,105.8459114,105.8409317,105.8394049,105.8296023,105.849454,105.8299803,105.844951,105.8127551,105.8127816,105.8218479,105.8273006,105.8328089,105.8438185,105.8573277,105.863677,105.8723636,105.8868685,105.9031633,105.8832379,105.8778402,105.8701271,105.8562794,105.8444102,105.8326657,105.8176863,105.7920875,105.7740453,105.7452335,105.7573708,105.7603672,105.7618745,105.792849,105.8148185,105.8494861,105.8827273,105.850154,105.8040989,105.7863774,105.7803099,105.7691625,105.7694461,105.7527876,105.7373151,105.6990585,105.6487004,105.5801342,105.5031834,105.5051306,105.487211,105.4684894,105.4671968,105.4527999,105.4772045
Angola,102.9571177,102.964424,102.969785,102.9715332,102.9669134,102.958898,102.971396,102.9727561,102.9762309,102.9763937,102.98917,102.990052,102.9763368,102.9726506,102.9898077,102.9816878,102.9886659,102.9806932,102.9727834,102.9743294,102.9750414,102.9728956,102.9709986,102.965525,102.9848952,102.9809369,102.9869292,102.9894623,102.9957662,102.9997218,103.007724,103.014097,103.0175963,103.0254985,103.0263755,103.0434407,103.0616859,103.064892,103.078406,103.0912125,103.1041862,103.1144356,103.1241347,103.1419298,103.1453635,103.1742475,103.1283844,103.0982875,103.0860903,103.0798962,103.0504058,103.0403447,103.0052984,102.994347,102.9688286,102.957426,102.8919199,102.841141,102.7943366,102.7686912,102.7057455,102.6477942,102.5952722,102.6125552,102.6207511,102.6444514
Antigua and Barbuda,103.1644,103.1736953,103.1786875,103.1575358,103.1452147,103.1568808,103.1572841,103.1464445,103.1568249,103.1531896,103.156352,103.1434282,103.1399151,103.1368089,103.1360394,103.122177,103.0985038,103.0932849,103.0703552,103.066244,103.0501573,103.0345289,103.0106574,102.9927901,102.9765008,102.9542285,102.9798967,102.9970342,102.9982022,103.0054144,103.0207511,103.005912,103.00478,102.9682717,102.9030585,102.9041487,102.9029612,102.8731548,102.849596,102.8202851,102.7763873,102.7500371,102.7265772,102.704163,102.7223743,102.7224149,102.7731283,102.8180723,102.8609512,102.8795323,102.9081236,102.9328212,102.9600572,102.9839683,103.0028694,103.0141599,103.0416933,103.0527888,103.0600977,103.0774632,103.0853018,103.0990289,103.1170788,103.1296948,103.1415299,103.1371914
Argentina,104.6452473,104.6186274,104.6307032,104.5509949,104.4919898,104.4061868,104.3328979,104.2683032,104.179835,104.2256756,104.2467411,104.2461564,104.267307,104.1583276,104.1488831,104.1421857,104.0937513,103.9519638,103.8161863,103.6496816,103.7626644,103.9778709,104.1764645,104.3655316,104.5579907,104.7412431,104.9172423,105.1097241,105.2965117,105.0542822,104.8052586,104.6709503,104.5237662,104.7122043,104.9297679,105.1148132,105.2276454,105.2912883,105.364598,105.3993098,105.4086192,105.4386164,105.4457335,105.4190362,105.5153581,105.485888,105.4472653,105.4507638,105.5279254,105.5111362,105.4814124,105.4307019,105.4814559,105.5290509,105.6461021,105.8855765,106.1568841,106.2819559,106.1865715,106.1425489,106.1829558,106.2237233,106.2149037,106.0953034,106.0124844,105.8874098
Armenia,106.2531283,106.2716346,106.2711618,106.2605832,106.2782259,106.27094,106.2643697,106.2671411,106.257957,106.2531291,106.2429282,106.2331416,106.2570884,106.259841,106.2664524,106.2675888,106.2718968,106.2679349,106.2573897,106.2690927,106.2501459,106.2473513,106.2465747,106.2537864,106.2484401,106.2434958,106.2324718,106.2399009,106.2375397,106.2421559,106.2387579,106.2366528,106.2293319,106.2386479,106.227697,106.2733862,106.3036844,106.3295503,106.192246,106.0586652,105.920652,105.8726196,106.475993,107.9020714,109.589546,111.1483086,112.8216591,114.5219614,116.2161599,117.3302728,117.5824917,117.32149,117.0294907,116.8222745,116.5771311,116.0991402,115.6175802,115.3393479,115.0780655,114.7305794,114.4856146,114.1680239,113.819559,113.4487047,113.0728288,112.6270407
Aruba,104.2257656,104.2295223,104.2172258,104.2299444,104.2351733,104.2432976,104.2376862,104.2373119,104.2232949,104.2205797,104.2422517,104.2247451,104.221616,104.2143764,104.2154154,104.2166894,104.2297148,104.2214029,104.2173343,104.2093294,104.2208511,104.2095923,104.2077965,104.2165286,104.197202,104.2001621,104.2066808,104.1958791,104.1830966,104.1820638,104.1758884,104.1614408,104.1511805,104.1364458,104.1245842,104.1580938,104.1940911,104.2333793,104.2634632,104.2513956,104.237526,104.2572072,104.2780805,104.2927143,104.3147285,104.324047,104.3303272,104.3377673,104.3543495,104.3341362,104.3130881,104.2802807,104.248848,104.2842248,104.3121122,104.321436,104.3211488,104.338445,104.3259525,104.3485547,104.3744146,104.3754677,104.3807273,104.4119051,104.4280345,104.4610408
Australia,105.3909116,105.4635059,105.269834,105.1174276,105.1922194,105.4435115,105.8973408,105.6441331,105.3348724,105.312934,105.5635111,105.6032808,105.8710912,105.8630972,105.952493,105.7660816,105.7131856,105.5190251,105.3813556,105.231017,105.0825288,104.8959299,105.2580115,105.4249225,105.7886245,105.7700653,105.6314675,105.7756388,105.5785692,105.633548,105.6833803,105.6437796,105.5810008,105.4454354,105.2246036,105.2620668,105.3591185,105.3995414,105.3227312,105.3463806,105.6250104,105.4868283,105.4997012,105.5219037,105.5862734,105.5189501,105.6026463,105.4044129,105.2693263,105.1491197,105.3217651,105.2818544,105.3496041,105.6154427,105.6239201,105.6249634,105.6550465,105.6040096,105.6107921,105.7115684,105.7538306,105.8066909,105.8501349,105.90743,105.5796935,105.7460337
